ECTRL_ID,Assigned_Aircraft
233739461,B789
233739550,B788
233739573,A35K
233739616,SB20
233739647,A318
233739704,A339
233739753,B789
233739798,B788
233739831,A319
233740017,B744
233740035,B788
233740056,A321
233740060,A318
233740066,A388
233740092,A319
233740116,A35K
233740166,A319
233740175,A318
233740278,A318
233740330,E190
233740347,A318
233740361,A320
233740364,B788
233740369,B744
233740409,B744
233740459,A318
233740487,E170
233740499,B744
233740550,B788
233740555,A321
233740590,A318
233740605,A319
233740618,B744
233740663,A339
233740708,A339
233740784,B773
233740916,A319
233741019,B789
233741069,B744
233741191,A339
233741203,A388
233741302,B773
233741546,E170
233742024,B744
233742151,B773
233742215,A319
233742277,A388
233742361,SB20
233742362,SB20
233742382,SB20
233742386,E170
233742501,A318
233742518,E170
233742519,SB20
233742565,SB20
233742739,A320
233742856,E170
233742900,A319
233743005,SB20
233743161,A320
233743166,E190
233743199,B788
233743201,SB20
233743230,A388
233743243,SB20
233743245,B789
233743254,A320
233743291,SB20
233743314,SB20
233743374,A321
233743385,SB20
233743440,A318
233743461,SB20
233743462,E170
233743469,E170
233743558,SB20
233743571,A321
233743610,A318
233743803,A320
233743848,A339
233743935,E170
233744009,SB20
233744012,E170
233744021,A320
233744022,SB20
233744074,A319
233744082,SB20
233744106,A318
233744113,E190
233744206,A320
233744219,SB20
233744282,SB20
233744306,SB20
233744375,SB20
233744382,SB20
233744409,SB20
233744524,E170
233744537,A388
233744567,SB20
233744630,SB20
233744634,SB20
233744638,SB20
233744713,A320
233744722,SB20
233744776,A320
233744809,SB20
233744816,E190
233744827,A319
233744836,SB20
233744923,SB20
233744940,A321
233744954,A318
233744959,SB20
233745039,A320
233745075,SB20
233745086,E190
233745095,A320
233745098,E170
233745185,A319
233745202,A319
233745295,A318
233745300,SB20
233745365,SB20
233745406,A339
233745455,E190
233745463,A318
233745737,SB20
233745743,E190
233745784,SB20
233745895,A321
233746033,E190
233746102,A319
233746143,A318
233746232,A319
233746303,A319
233746330,A320
233746335,SB20
233746399,A320
233746504,SB20
233746559,SB20
233746592,B744
233746668,A320
233746680,SB20
233746729,A321
233746734,SB20
233746744,A319
233746768,SB20
233746789,SB20
233746811,SB20
233746947,B788
233746985,E190
233747183,B744
233747198,E190
233747332,SB20
233747393,SB20
233747521,A321
233747613,SB20
233747718,A319
233747721,E170
233747805,SB20
233748019,SB20
233748092,SB20
233748195,A318
233748283,SB20
233748307,E170
233748457,SB20
233748481,SB20
233748550,SB20
233748583,SB20
233748599,SB20
233748639,SB20
233748689,A318
233748763,SB20
233748796,A321
233748972,A35K
233748981,E170
233748992,A318
233749022,A321
233749140,SB20
233749293,A319
233749343,A320
233749362,E170
233749404,E190
233749412,B773
233749418,E190
233749431,SB20
233749443,SB20
233749445,SB20
233749475,SB20
233749505,SB20
233749547,SB20
233749586,A318
233749595,E170
233749624,SB20
233749762,A321
233749792,A319
233749813,A388
233749853,A318
233749932,SB20
233749975,A319
233749984,A318
233749999,SB20
233750013,SB20
233750135,SB20
233750185,A318
233750363,SB20
233750392,SB20
233750409,SB20
233750443,SB20
233750450,B772
233750479,SB20
233750489,SB20
