ECTRL ID,Aircraft Assigned
233739461,E190
233739550,A318
233739573,A388
233739616,B744
233739647,E170
233739704,A339
233739753,A321
233739798,E190
233739831,SB20
233740017,E190
233740035,A388
233740056,E190
233740060,A388
233740066,A318
233740092,E190
233740116,A320
233740166,A321
233740175,A321
233740278,SB20
233740330,E190
233740347,A321
233740361,A318
233740364,E190
233740369,A388
233740409,E170
233740459,A320
233740487,A319
233740499,A319
233740550,A339
233740555,B772
233740590,SB20
233740605,A319
233740618,A320
233740663,A339
233740708,A320
233740784,A320
233740916,A388
233741019,SB20
233741069,B788
233741191,B744
233741203,A318
233741302,A321
233741546,SB20
233742024,E190
233742151,B772
233742215,SB20
233742277,B744
233742361,A319
233742362,A320
233742382,A339
233742386,B788
233742501,SB20
233742518,E170
233742519,A318
233742565,A318
233742739,A320
233742856,SB20
233742900,A319
233743005,A319
233743161,B789
233743166,B744
233743199,SB20
233743201,B789
233743230,A35K
233743243,E170
233743245,A318
233743254,E190
233743291,SB20
233743314,B788
233743374,B772
233743385,A339
233743440,E170
233743461,B788
233743462,B788
233743469,SB20
233743558,SB20
233743571,B789
233743610,A319
233743803,A35K
233743848,B773
233743935,A319
233744009,B789
233744012,B789
233744021,A388
233744022,A318
233744074,SB20
233744082,B772
233744106,E190
233744113,A35K
233744206,A318
233744219,E170
233744282,A339
233744306,A321
233744375,A321
233744382,A320
233744409,A388
233744524,E170
233744537,B744
233744567,SB20
233744630,A320
233744634,E170
233744638,B772
233744713,A339
233744722,E170
233744776,B789
233744809,A339
233744816,SB20
233744827,E190
233744836,B744
233744923,E190
233744940,B773
233744954,A319
233744959,SB20
233745039,B773
233745075,A318
233745086,A318
233745095,A339
233745098,B788
233745185,A35K
233745202,A388
233745295,A388
233745300,A319
233745365,E170
233745406,SB20
233745455,B744
233745463,B744
233745737,A319
233745743,A319
233745784,A318
233745895,A321
233746033,A320
233746102,A35K
233746143,E170
233746232,SB20
233746303,B744
233746330,A35K
233746335,A320
233746399,A388
233746504,A339
233746559,SB20
233746592,A388
233746668,A320
233746680,A321
233746729,SB20
233746734,A318
233746744,A321
233746768,A321
233746789,A321
233746811,E170
233746947,E170
233746985,A388
233747183,E190
233747198,A318
233747332,A319
233747393,SB20
233747521,A388
233747613,A318
233747718,A320
233747721,SB20
233747805,B788
233748019,A318
233748092,A319
233748195,A320
233748283,B772
233748307,A321
233748457,A319
233748481,SB20
233748550,SB20
233748583,E170
233748599,A319
233748639,A319
233748689,A35K
233748763,B772
233748796,SB20
233748972,SB20
233748981,B744
233748992,B789
233749022,A319
233749140,SB20
233749293,A320
233749343,A320
233749362,A339
233749404,A35K
233749412,A318
233749418,E190
233749431,A339
233749443,A318
233749445,A321
233749475,A318
233749505,A320
233749547,SB20
233749586,B773
233749595,E170
233749624,E170
233749762,SB20
233749792,A320
233749813,B788
233749853,A321
233749932,B789
233749975,A320
233749984,E190
233749999,A388
233750013,E170
233750135,SB20
233750185,A319
233750363,A319
233750392,B744
233750409,A35K
233750443,A321
233750450,B788
233750479,E190
233750489,A35K
233750530,E170
233750620,A339
233750635,E190
233750640,A339
233750656,A320
233750665,E190
233750722,A318
233750828,B772
233750835,A320
233750844,A320
233750896,B744
233750899,A320
233750929,A319
