ECTRL_ID,Assigned Aircraft
233739461,A388
233739550,B744
233739573,B789
233739616,B772
233739647,A318
233739704,A318
233739753,B744
233739798,A320
233739831,A388
233740017,A318
233740035,A388
233740056,A321
233740060,A321
233740066,B744
233740092,A321
233740116,A318
233740166,A320
233740175,B789
233740278,A318
233740330,E190
233740347,A318
233740361,A320
233740364,E190
233740369,A318
233740409,A318
233740459,A318
233740487,E170
233740499,B789
233740550,A321
233740555,A321
233740590,A318
233740605,A320
233740618,B744
233740663,A388
233740708,B744
233740784,B773
233740916,A321
233741019,B788
233741069,B744
233741191,B788
233741203,A318
233741302,A388
233741546,A319
233742024,B789
233742151,A388
233742215,E170
233742277,B789
233742361,A321
233742362,SB20
233742382,SB20
233742386,E170
233742501,A318
233742518,E190
233742519,SB20
233742565,A321
233742739,SB20
233742856,E170
233742900,E170
233743005,A321
233743161,A319
233743166,A321
233743199,A321
233743201,E190
233743230,E170
233743243,A321
233743245,A35K
233743254,SB20
233743291,A320
233743314,B772
233743374,B772
233743385,A321
233743440,E170
233743461,E190
233743462,A388
233743469,A320
233743558,A321
233743571,A320
233743610,A318
233743803,SB20
233743848,B773
233743935,B772
233744009,A321
233744012,A321
233744021,A321
233744022,E190
233744074,B744
233744082,A321
233744106,E190
233744113,A319
233744206,SB20
233744219,SB20
233744282,A321
233744306,E170
233744375,B744
233744382,A321
233744409,B772
233744524,E170
233744537,A319
233744567,A321
233744630,B744
233744634,A388
233744638,SB20
233744713,E170
233744722,A319
233744776,A320
233744809,A321
233744816,E170
233744827,B744
233744836,A388
233744923,SB20
233744940,A320
233744954,E170
233744959,A321
233745039,A321
233745075,A320
233745086,E190
233745095,SB20
233745098,A321
233745185,SB20
233745202,SB20
233745295,E190
233745300,B772
233745365,A320
233745406,SB20
233745455,E170
233745463,E170
233745737,B772
233745743,E190
233745784,SB20
233745895,E190
233746033,SB20
233746102,E170
233746143,A319
233746232,E170
233746303,A321
233746330,E190
233746335,SB20
233746399,E170
233746504,B772
233746559,SB20
233746592,E170
233746668,E170
233746680,E190
233746729,A321
233746734,E190
233746744,B744
233746768,A321
233746789,SB20
233746811,A321
233746947,E170
233746985,E170
233747183,A318
233747198,A321
233747332,E190
233747393,A320
233747521,E170
233747613,SB20
233747718,E170
233747721,SB20
